"longitude","latitude"
-84.495229,33.802739
-84.49659,33.800149
-84.496679,33.79993
-84.496699,33.79977
-84.49669,33.799569
-84.49587,33.7964
-84.495604,33.79538
-84.495569,33.79527
-84.495469,33.794999
-84.495249,33.794029
-84.495199,33.793679
-84.49519,33.79328
-84.495229,33.793
-84.495409,33.792469
-84.49558,33.79217
-84.496049,33.791609
-84.496439,33.79123
-84.49671,33.791019
-84.496849,33.79086
-84.496579,33.79049
-84.496189,33.789909
-84.49589,33.790089
-84.494279,33.79172
-84.493379,33.792659
-84.492429,33.79382
-84.49095,33.79562
-84.4892,33.79745
-84.489009,33.797789
-84.488699,33.798769
-84.48817,33.79995
-84.487899,33.80053
-84.4877,33.80082
-84.487489,33.80106
-84.48731,33.800809
-84.48719,33.800579
-84.48707,33.8
-84.486989,33.799639
-84.486969,33.79921
-84.486889,33.79667
-84.486829,33.796519
-84.48664,33.79642
-84.485429,33.79634
-84.4853,33.796309
-84.485149,33.79622
-84.484659,33.7956
-84.48399,33.79419
-84.48393,33.794109
-84.483789,33.79398
-84.483589,33.793869
-84.482964,33.793684
-84.482769,33.79365
-84.481969,33.793419
-84.48185,33.79337
-84.48165,33.79324
-84.481509,33.79312
-84.48095,33.79244
-84.48079,33.79215
-84.48042,33.791179
-84.480259,33.79101
-84.47869,33.789699
-84.477799,33.789129
-84.4776,33.788939
-84.47724,33.78832
-84.47701,33.78799
-84.47629,33.787139
-84.475229,33.786229
-84.475049,33.786089
-84.474909,33.785949
-84.47469,33.78596
-84.4726,33.78592
-84.472139,33.786479
-84.471969,33.786639
-84.47093,33.787439
-84.47052,33.787789
-84.47046,33.78795
-84.470189,33.789019
-84.47005,33.79006
-84.469689,33.79176
-84.4694,33.79291
-84.46925,33.793209
-84.469079,33.792919
-84.4689,33.79271
-84.467559,33.791409
-84.46706,33.790969
-84.46671,33.790579
-84.4665,33.790259
-84.46636,33.789889
-84.466159,33.78903
-84.46605,33.788859
-84.465829,33.788659
-84.46562,33.788509
-84.46447,33.78799
-84.46318,33.787099
-84.462509,33.786579
-84.46195,33.78603
-84.46127,33.78524
-84.460599,33.784409
-84.460029,33.78386
-84.45841,33.78269
-84.45628,33.78181
-84.456019,33.78158
-84.455899,33.781389
-84.455595,33.780585
-84.45527,33.779709
-84.455039,33.77937
-84.45493,33.779249
-84.453519,33.7784
-84.45267,33.777959
-84.452269,33.77783
-84.451319,33.777609
-84.450849,33.777429
-84.450149,33.77705
-84.44901,33.776129
-84.447849,33.77522
-84.447399,33.77489
-84.446909,33.774599
-84.446559,33.77446
-84.445719,33.774249
-84.444609,33.774059
-84.44433,33.773999
-84.443949,33.773879
-84.44298,33.77337
-84.44086,33.772289
-84.43994,33.771849
-84.439729,33.771779
-84.43943,33.771719
-84.43762,33.77153
-84.435439,33.771289
-84.434529,33.771269
-84.43395,33.7713
-84.43264,33.77153
-84.43118,33.771819
-84.430389,33.77192
-84.429509,33.771929
-84.428929,33.771909
-84.428789,33.7719
-84.428742,33.77215
