"longitude","latitude"
-84.512398,33.586828
-84.513076,33.586658
-84.513182,33.586678
-84.513275,33.586772
-84.513277,33.587785
-84.513389,33.58779
-84.51467,33.587799
-84.514713,33.589045
-84.5159,33.58905
-84.515909,33.587799
-84.515949,33.58613
-84.515009,33.585559
-84.5143,33.585149
-84.51332,33.584739
-84.51149,33.5842
-84.51034,33.58395
-84.50776,33.58313
-84.50658,33.582625
-84.50572,33.582219
-84.50511,33.581889
-84.50262,33.580389
-84.49953,33.579119
-84.498974,33.578904
-84.498799,33.578849
-84.49842,33.57878
-84.497889,33.578749
-84.49755,33.578769
-84.497169,33.57884
-84.496789,33.57895
-84.4963,33.579199
-84.495899,33.57946
-84.49419,33.58073
-84.492969,33.58166
-84.491999,33.58217
-84.490849,33.582469
-84.48928,33.582569
-84.48861,33.582609
-84.488229,33.582669
-84.487279,33.582959
-84.48694,33.583079
-84.4851,33.583739
-84.48327,33.584439
-84.48233,33.58486
-84.480449,33.58588
-84.480819,33.586319
-84.48097,33.5865
-84.48111,33.586609
-84.481209,33.58666
-84.481309,33.58668
-84.48148,33.586689
-84.48167,33.586669
-84.481879,33.586609
-84.482069,33.5872
-84.48231,33.58796
-84.482339,33.588169
-84.4823,33.58964
-84.482269,33.589769
-84.482229,33.58986
-84.481329,33.59069
-84.48157,33.59093
-84.48169,33.59112
-84.48173,33.591209
-84.481779,33.59145
-84.481779,33.59188
-84.480259,33.59186
-84.47896,33.591819
-84.47896,33.591389
-84.478949,33.591269
-84.478849,33.59097
-84.478699,33.59079
-84.478399,33.590569
-84.4781,33.590239
-84.477879,33.589899
-84.477059,33.588109
-84.47662,33.58843
-84.476099,33.58876
-84.475749,33.588929
-84.475,33.589179
-84.47459,33.589259
-84.47387,33.58931
-84.47225,33.589119
-84.47212,33.589099
-84.471049,33.58898
-84.4704,33.588909
-84.469629,33.588829
-84.468989,33.58874
-84.46874,33.59005
-84.468599,33.590779
-84.468299,33.59255
-84.468299,33.5937
-84.468519,33.594969
-84.468649,33.595559
-84.46907,33.59656
-84.47122,33.60021
-84.47001,33.600199
-84.467739,33.600119
-84.463719,33.59998
-84.464319,33.600769
-84.46443,33.600919
-84.46595,33.602169
-84.466649,33.60275
-84.46687,33.60302
-84.46613,33.60339
-84.465569,33.60358
-84.46506,33.60368
-84.464289,33.60374
-84.463949,33.60382
-84.463699,33.603929
-84.46342,33.604159
-84.4633,33.60433
-84.463249,33.604449
-84.46318,33.6047
-84.46309,33.60764
-84.463109,33.61082
-84.463099,33.61139
-84.463099,33.61388
-84.463079,33.61624
-84.464009,33.616249
-84.46903,33.61632
-84.472769,33.616349
-84.47282,33.617209
-84.4729,33.61854
-84.47284,33.618809
-84.47297,33.61934
-84.47344,33.620269
-84.473759,33.62094
-84.474209,33.62207
-84.474269,33.622369
-84.47428,33.622959
-84.47422,33.623449
-84.474269,33.62469
-84.474389,33.62689
-84.472709,33.628239
-84.470919,33.629649
-84.467969,33.63208
-84.464599,33.63471
-84.460969,33.63761
-84.458474,33.639609
-84.45731,33.64054
-84.45669,33.64105
-84.45488,33.642519
-84.454729,33.642659
-84.453909,33.64331
-84.45281,33.64411
-84.452309,33.644489
-84.45117,33.64553
-84.45072,33.64604
-84.45029,33.646929
-84.450239,33.64717
-84.45016,33.64727
-84.4501,33.647359
-84.44996,33.647469
-84.44975,33.6476
-84.449499,33.647649
-84.449169,33.647709
-84.44846,33.64795
-84.448259,33.64803
-84.44807,33.64817
-84.447629,33.648699
-84.447769,33.64885
-84.447959,33.648969
-84.448079,33.64912
-84.44815,33.649359
-84.448179,33.649659
-84.44842,33.6509
-84.448429,33.651059
-84.448313,33.651266
-84.448257,33.65135
-84.448253,33.651441
-84.448319,33.651512
-84.448424,33.651533
-84.448521,33.651493
-84.448566,33.651411
-84.448426,33.651092
-84.448313,33.651266
