"longitude","latitude"
-84.267069,33.928119
-84.26725,33.92803
-84.267529,33.92786
-84.268119,33.927399
-84.2694,33.92612
-84.26961,33.92585
-84.26994,33.925249
-84.270169,33.92456
-84.270239,33.924099
-84.27014,33.92125
-84.270089,33.920709
-84.26988,33.920139
-84.269699,33.919869
-84.269389,33.91955
-84.267809,33.918619
-84.26739,33.91832
-84.267139,33.918079
-84.26694,33.917819
-84.26676,33.917509
-84.266519,33.91686
-84.26553,33.91384
-84.26516,33.912749
-84.26507,33.91257
-84.265369,33.912169
-84.26546,33.91206
-84.26594,33.91165
-84.26612,33.91154
-84.26761,33.91101
-84.27001,33.91022
-84.27053,33.90997
-84.27103,33.90961
-84.27229,33.90831
-84.27249,33.90813
-84.27539,33.90612
-84.2757,33.90585
-84.27596,33.90553
-84.27625,33.90504
-84.276639,33.90455
-84.276819,33.90436
-84.27708,33.90415
-84.27736,33.90396
-84.27902,33.90292
-84.279251,33.903236
-84.279342,33.903281
-84.279443,33.903253
-84.280457,33.902521
-84.280496,33.902436
