"longitude","latitude"
-84.280151,33.902741
-84.280457,33.902521
-84.280496,33.902436
-84.280431,33.902363
-84.280323,33.902369
-84.280273,33.902623
-84.280212,33.902697
-84.279457,33.90324
-84.279364,33.903281
-84.279265,33.90325
-84.279019,33.902919
-84.2791,33.90287
-84.27958,33.90253
-84.28015,33.90206
-84.28029,33.90191
-84.279119,33.901019
-84.277709,33.899979
-84.2764,33.90102
-84.27579,33.90137
-84.274419,33.90243
-84.274529,33.902589
-84.275039,33.90301
-84.275159,33.90309
-84.275879,33.90356
-84.278119,33.90481
-84.2787,33.905159
-84.2793,33.90561
-84.279449,33.90574
-84.27975,33.90602
-84.28225,33.908419
-84.28383,33.909889
-84.28437,33.91023
-84.2848,33.91042
-84.28548,33.91064
-84.286199,33.91077
-84.286959,33.910819
-84.288129,33.91075
-84.28823,33.910759
-84.2889,33.910959
-84.29007,33.910119
-84.29052,33.90976
-84.291229,33.909109
-84.29272,33.90748
-84.29393,33.90627
-84.295,33.905209
-84.295149,33.90506
-84.29596,33.90426
-84.299149,33.90108
-84.30013,33.900099
-84.301879,33.898379
-84.30419,33.896079
-84.305645,33.89469
-84.305799,33.894539
-84.30742,33.893249
-84.30994,33.89131
-84.312155,33.889574
-84.31246,33.889329
-84.31339,33.888589
-84.31421,33.887669
-84.315879,33.88521
-84.31714,33.88339
-84.31766,33.882879
-84.31792,33.88265
-84.318259,33.8824
-84.318569,33.8822
-84.32004,33.88135
-84.320419,33.881059
-84.320909,33.880609
-84.32285,33.878489
-84.323249,33.878139
-84.324339,33.87744
-84.324539,33.877319
-84.327929,33.87532
-84.329819,33.874199
-84.33046,33.873729
-84.331164,33.873115
-84.33176,33.87247
-84.333879,33.869809
-84.33635,33.86638
-84.33679,33.865719
-84.3381,33.86313
-84.338559,33.86227
-84.33956,33.860999
-84.339809,33.86064
-84.339549,33.860699
-84.33945,33.860719
-84.339299,33.860739
-84.33911,33.86075
-84.3389,33.860739
-84.339114,33.859765
