"longitude","latitude"
-84.25754,33.849219
-84.260319,33.85044
-84.26018,33.85061
-84.26012,33.85068
-84.26004,33.85074
-84.25994,33.85079
-84.25872,33.85084
-84.258539,33.850839
-84.258269,33.85044
-84.25816,33.8503
-84.257569,33.849609
-84.256889,33.848849
-84.2566,33.848669
-84.256089,33.848359
-84.25596,33.848139
-84.25581,33.84775
-84.25557,33.84679
-84.25553,33.84659
-84.25553,33.8465
-84.25554,33.8463
-84.25567,33.84584
-84.25573,33.845569
-84.25578,33.84539
-84.25583,33.84523
-84.25676,33.84462
-84.25742,33.84414
-84.258369,33.843429
-84.258859,33.842939
-84.25955,33.84211
-84.259969,33.841609
-84.26039,33.84125
-84.26052,33.841159
-84.26064,33.841099
-84.261079,33.840929
-84.26154,33.84084
-84.26191,33.840809
-84.26429,33.840809
-84.265059,33.840729
-84.26555,33.840599
-84.26657,33.840109
-84.26764,33.83952
-84.26811,33.83918
-84.26885,33.838389
-84.269479,33.8377
-84.270189,33.836869
-84.270519,33.83634
-84.27121,33.834999
-84.27142,33.834689
-84.271899,33.834179
-84.27446,33.832029
-84.274979,33.831629
-84.275329,33.831349
-84.27554,33.831219
-84.278589,33.830009
-84.278859,33.8299
-84.279759,33.82935
-84.28108,33.828469
-84.281809,33.827959
-84.28194,33.82785
-84.28201,33.82778
-84.282119,33.827649
-84.282959,33.826129
-84.283099,33.82596
-84.28322,33.825849
-84.283349,33.82575
-84.28369,33.825559
-84.284229,33.825369
-84.28588,33.82496
-84.28625,33.82488
-84.28675,33.824779
-84.28695,33.82476
-84.287579,33.824739
-84.288869,33.824739
-84.28931,33.82475
-84.28993,33.824879
-84.29089,33.825049
-84.291149,33.82506
-84.291419,33.825039
-84.29317,33.824649
-84.29469,33.824289
-84.295149,33.82415
-84.29596,33.823809
-84.297534,33.823059
-84.298269,33.82274
-84.300079,33.822249
-84.300689,33.82196
-84.30083,33.821879
-84.301229,33.821539
-84.301779,33.820839
-84.30187,33.820709
-84.301969,33.8206
-84.302169,33.820429
-84.30231,33.820339
-84.302499,33.82025
-84.30284,33.82015
-84.302989,33.820119
-84.303529,33.820099
-84.30688,33.82011
-84.30884,33.82012
-84.309229,33.820079
-84.30941,33.82003
-84.3095,33.81999
-84.30961,33.81994
-84.309749,33.81984
-84.31033,33.81931
-84.31115,33.81851
-84.31193,33.817799
-84.312079,33.817699
-84.312309,33.817619
-84.31261,33.81758
-84.314859,33.81758
-84.31519,33.817529
-84.31538,33.81748
-84.31557,33.8174
-84.31574,33.8173
-84.315899,33.81717
-84.31604,33.81701
-84.316499,33.81627
-84.31661,33.816139
-84.3168,33.81598
-84.317259,33.815689
-84.31768,33.815499
-84.318529,33.81526
-84.318959,33.815189
-84.320249,33.815069
-84.320929,33.815049
-84.32118,33.81507
-84.3215,33.81512
-84.3216,33.81514
-84.32192,33.81521
-84.32219,33.81529
-84.32365,33.81578
-84.325079,33.816279
-84.32539,33.81639
-84.32549,33.81642
-84.326,33.81654
-84.32634,33.8166
-84.32786,33.81672
-84.32858,33.816769
-84.32998,33.81674
-84.331459,33.8167
-84.33205,33.81668
-84.33225,33.81666
-84.33278,33.81654
-84.333429,33.816299
-84.335239,33.815519
-84.336199,33.815
-84.33667,33.81472
-84.337389,33.814309
-84.33765,33.8142
-84.33792,33.81412
-84.33829,33.81407
-84.33861,33.81406
-84.33876,33.81407
-84.338909,33.814089
-84.33909,33.814129
-84.339529,33.81428
-84.33974,33.81438
-84.34036,33.814759
-84.340659,33.8149
-84.34112,33.81506
-84.34176,33.813279
-84.341869,33.812939
-84.34195,33.81274
-84.34212,33.81247
-84.34226,33.81231
-84.34246,33.81212
-84.34298,33.81176
-84.34307,33.81171
-84.34325,33.81165
-84.34335,33.81165
-84.34345,33.811659
-84.34363,33.81172
-84.34452,33.81211
-84.34463,33.81213
-84.34516,33.8122
-84.34527,33.81219
-84.34644,33.81221
-84.34643,33.812419
-84.34653,33.81281
-84.34695,33.813299
-84.3474,33.81387
-84.34778,33.81432
-84.347919,33.81446
-84.34811,33.81458
-84.34819,33.81463
-84.34837,33.81471
-84.34855,33.81477
-84.34877,33.814819
-84.349029,33.814869
-84.34963,33.814889
-84.34992,33.814869
-84.35025,33.814819
-84.35054,33.81475
-84.351139,33.814519
-84.35134,33.81449
-84.351779,33.814559
-84.353009,33.81502
-84.352169,33.816959
-84.3521,33.817159
-84.35165,33.818439
-84.352459,33.818699
-84.35316,33.818909
-84.356399,33.820039
-84.357239,33.820389
-84.3576,33.82052
-84.35813,33.820649
-84.359479,33.82068
-84.360109,33.820669
-84.360499,33.820649
-84.360559,33.820649
-84.363249,33.820649
-84.36335,33.82068
-84.363719,33.82072
-84.365099,33.8207
-84.36552,33.82072
-84.365669,33.820779
-84.366329,33.821189
-84.36655,33.821289
-84.366839,33.82138
-84.36714,33.821429
-84.367459,33.82144
-84.36848,33.82134
-84.36941,33.821407
-84.369464,33.821228
-84.369181,33.821264
