"longitude","latitude"
-84.3389,33.860739
-84.339201,33.859568
-84.340509,33.85802
-84.3406,33.858359
-84.340509,33.85908
-84.340349,33.859359
-84.340199,33.859749
-84.33999,33.86032
-84.339809,33.86064
-84.339549,33.860699
-84.33945,33.860719
-84.339299,33.860739
-84.33911,33.86075
-84.337819,33.86064
-84.33736,33.860589
-84.337509,33.85947
-84.33759,33.8589
-84.33771,33.85853
-84.337819,33.858339
-84.33802,33.858109
-84.33809,33.85805
-84.33825,33.85792
-84.338339,33.857859
-84.33851,33.85777
-84.3386,33.85772
-84.340219,33.85718
-84.339629,33.85599
-84.33952,33.8557
-84.339419,33.855169
-84.339199,33.85338
-84.33888,33.85049
-84.338769,33.84985
-84.338769,33.849369
-84.338929,33.848835
-84.339029,33.84856
-84.33917,33.84743
-84.33923,33.84542
-84.339219,33.84457
-84.339239,33.844339
-84.339279,33.844189
-84.339359,33.84406
-84.33958,33.843829
-84.3403,33.843389
-84.340899,33.8431
-84.34136,33.84273
-84.341924,33.842069
-84.3422,33.841549
-84.342499,33.84067
-84.342849,33.83979
-84.34311,33.839329
-84.34331,33.838779
-84.34342,33.838299
-84.34342,33.83797
-84.34315,33.83735
-84.34309,33.83719
-84.34296,33.836869
-84.34278,33.83647
-84.34223,33.835639
-84.34146,33.83461
-84.341069,33.834219
-84.34089,33.834059
-84.34046,33.83378
-84.340349,33.83372
-84.33952,33.833419
-84.33765,33.832889
-84.33623,33.832469
-84.33566,33.83224
-84.33512,33.83194
-84.33494,33.83183
-84.33428,33.83134
-84.33319,33.830219
-84.33241,33.82947
-84.331749,33.82887
-84.33112,33.82838
-84.329719,33.827569
-84.32952,33.82746
-84.328979,33.82727
-84.32839,33.827139
-84.325649,33.826789
-84.325199,33.826669
-84.32488,33.82654
-84.324419,33.82633
-84.322,33.82517
-84.321339,33.824839
-84.3209,33.82462
-84.32045,33.82436
-84.31833,33.82286
-84.31784,33.82263
-84.317519,33.822519
-84.317339,33.82247
-84.31638,33.82223
-84.31626,33.822189
-84.31602,33.822109
-84.31585,33.82204
-84.3154,33.821799
-84.314879,33.82144
-84.314529,33.82112
-84.314299,33.820859
-84.314199,33.820729
-84.314029,33.820469
-84.31365,33.819609
-84.313339,33.818909
-84.31316,33.818659
-84.31309,33.81859
-84.312859,33.818369
-84.312719,33.818249
-84.312079,33.817699
-84.311349,33.816879
-84.31041,33.81569
-84.30994,33.81512
-84.30959,33.814699
-84.309109,33.814109
-84.30873,33.81348
-84.30865,33.81334
-84.308469,33.81309
-84.308369,33.81299
-84.3082,33.81288
-84.308099,33.812829
-84.307999,33.8128
-84.3079,33.81278
-84.30335,33.812689
-84.298909,33.812639
-84.296509,33.81262
-84.295909,33.81258
-84.295319,33.81247
-84.29453,33.81223
-84.293919,33.811929
-84.291849,33.81069
-84.291619,33.81057
-84.291009,33.81036
-84.290529,33.81026
-84.290289,33.810229
-84.289219,33.81028
-84.28859,33.8104
-84.28831,33.8105
-84.28781,33.81072
-84.28625,33.811459
-84.28439,33.812299
-84.28404,33.812439
-84.28322,33.812629
-84.28262,33.81268
-84.281829,33.81266
-84.28125,33.81258
-84.28065,33.81242
-84.27675,33.81126
-84.27302,33.81024
-84.27262,33.81013
-84.271449,33.80978
-84.27039,33.809449
-84.2697,33.80913
-84.26952,33.80902
-84.269109,33.80868
-84.268879,33.80843
-84.26862,33.8081
-84.26838,33.80766
-84.26811,33.80675
-84.26754,33.80467
-84.2668,33.80236
-84.26629,33.80076
-84.26602,33.79997
-84.26596,33.79981
-84.265929,33.79954
-84.26553,33.79843
-84.265489,33.798279
-84.2654,33.798119
-84.2653,33.798009
-84.26518,33.79792
-84.264199,33.797359
-84.263749,33.79688
-84.26362,33.796649
-84.26328,33.79588
-84.26292,33.79507
-84.26329,33.79458
-84.263909,33.793599
-84.262789,33.79359
-84.26249,33.79357
-84.26222,33.79355
-84.261549,33.79341
-84.26082,33.793229
-84.260159,33.79296
-84.2591,33.792449
-84.258839,33.79234
-84.258169,33.791999
-84.25721,33.791589
-84.2569,33.791489
-84.254679,33.79057
-84.253299,33.79002
-84.2527,33.78981
-84.25274,33.78955
-84.25289,33.78903
-84.25294,33.78882
-84.25303,33.788509
-84.253059,33.788429
-84.25325,33.78809
-84.25348,33.78782
-84.25416,33.7872
-84.25451,33.7869
-84.254759,33.78674
-84.25492,33.78666
-84.2551,33.7866
-84.25521,33.78658
-84.25531,33.78657
-84.25633,33.78657
-84.256319,33.786399
-84.25629,33.78557
-84.25629,33.78548
-84.25629,33.78539
-84.2563,33.7853
-84.25738,33.78532
-84.26052,33.78533
-84.263299,33.78536
-84.26327,33.784299
-84.26325,33.78409
-84.263279,33.783259
-84.26329,33.781859
-84.263299,33.781739
-84.263339,33.78156
-84.26405,33.78023
-84.26415,33.78009
-84.265329,33.779359
-84.265719,33.77914
-84.266229,33.77873
-84.26657,33.77832
-84.26672,33.778089
-84.267299,33.776649
-84.26747,33.77627
-84.26733,33.77627
-84.267179,33.776259
-84.267009,33.77623
-84.264339,33.775419
-84.263849,33.77528
-84.261859,33.774819
-84.26007,33.77438
-84.259169,33.774189
-84.257409,33.77352
-84.256589,33.773099
-84.255619,33.772479
-84.254989,33.77202
-84.25461,33.77171
-84.25451,33.77171
-84.253079,33.771699
-84.25171,33.77169
-84.25074,33.77176
-84.250933,33.772638
-84.252423,33.772245
-84.252347,33.772702
