"longitude","latitude"
-84.360789,33.5058
-84.360649,33.50582
-84.35846,33.50672
-84.3576,33.507159
-84.35717,33.507589
-84.356969,33.507939
-84.3568,33.50836
-84.35669,33.50855
-84.35639,33.508739
-84.35624,33.50888
-84.356849,33.50949
-84.359329,33.512
-84.36187,33.514609
-84.36254,33.515489
-84.362939,33.5162
-84.3631,33.51657
-84.3633,33.51712
-84.36337,33.51737
-84.36343,33.5178
-84.363479,33.51834
-84.363439,33.519849
-84.36326,33.52332
-84.363169,33.525305
-84.3631,33.52671
-84.3631,33.52776
-84.363149,33.52866
-84.363519,33.530809
-84.36385,33.532624
-84.36412,33.53398
-84.3647,33.536759
-84.36501,33.53768
-84.36517,33.538109
-84.365429,33.538729
-84.36571,33.539299
-84.366019,33.53991
-84.36688,33.541579
-84.36739,33.54258
-84.368729,33.54524
-84.369119,33.54621
-84.36946,33.547469
-84.369654,33.548794
-84.36987,33.55044
-84.370269,33.553459
-84.37073,33.556949
-84.37112,33.55988
-84.37121,33.560749
-84.371209,33.56109
-84.37116,33.56263
-84.371129,33.563519
-84.3711,33.564729
-84.371169,33.565449
-84.371669,33.568979
-84.37176,33.569744
-84.3718,33.5703
-84.371649,33.57306
-84.37166,33.574169
-84.371729,33.57472
-84.3719,33.57542
-84.37209,33.575899
-84.37305,33.57763
-84.373679,33.578809
-84.374129,33.57962
-84.37492,33.58083
-84.37636,33.582489
-84.37765,33.583979
-84.37808,33.584639
-84.378279,33.58512
-84.37837,33.58553
-84.378399,33.586079
-84.378379,33.586319
-84.37825,33.58685
-84.378089,33.587449
-84.37788,33.5881
-84.377719,33.58867
-84.377019,33.590919
-84.37691,33.591459
-84.376879,33.592239
-84.376919,33.5927
-84.37775,33.59567
-84.378399,33.59793
-84.378499,33.598309
-84.378649,33.598799
-84.378729,33.599089
-84.3788,33.59931
-84.37896,33.599909
-84.37964,33.602249
-84.37978,33.60277
-84.38061,33.60563
-84.380989,33.606949
-84.38149,33.608719
-84.382279,33.611429
-84.38288,33.61386
-84.38325,33.61562
-84.383329,33.616329
-84.383299,33.619079
-84.383299,33.619779
-84.38327,33.62032
-84.383299,33.62073
-84.383409,33.62137
-84.38354,33.621749
-84.38426,33.623799
-84.384539,33.623799
-84.38467,33.62385
-84.384739,33.62394
-84.38477,33.624129
-84.38473,33.624269
-84.38461,33.62455
-84.38459,33.62467
-84.38535,33.626509
-84.386279,33.62818
-84.387094,33.629454
-84.388109,33.63106
-84.38863,33.631769
-84.390079,33.63366
-84.390299,33.63403
-84.39072,33.635089
-84.390799,33.635539
-84.39083,33.636
-84.39068,33.638069
-84.391701,33.638315
-84.392374,33.638807
-84.392379,33.640159
-84.39399,33.640179
-84.394939,33.640179
-84.397099,33.64015
-84.398139,33.640159
-84.39854,33.64019
-84.3993,33.64033
-84.40064,33.640819
-84.40111,33.640959
-84.40214,33.64107
-84.402579,33.641059
-84.402799,33.641149
-84.402929,33.64126
-84.40296,33.641579
-84.40261,33.64245
-84.401299,33.6451
-84.40097,33.645779
-84.40088,33.646029
-84.400829,33.646279
-84.400829,33.646519
-84.400889,33.646769
-84.40099,33.64701
-84.401139,33.647239
-84.40134,33.647429
-84.401549,33.647589
-84.40179,33.64772
-84.40205,33.647819
-84.40232,33.647879
-84.40324,33.647899
-84.40357,33.647939
-84.4039,33.648019
-84.404199,33.64815
-84.404469,33.64832
-84.404709,33.648509
-84.404859,33.648699
-84.405119,33.649209
-84.40544,33.649989
-84.405589,33.650239
-84.40597,33.650689
-84.406309,33.650999
-84.4134,33.655349
-84.41589,33.656639
-84.41773,33.65758
-84.418,33.657689
-84.41856,33.657829
-84.41876,33.65786
-84.42001,33.6579
-84.42229,33.65794
-84.423569,33.65797
-84.42379,33.657959
-84.42574,33.657669
-84.42644,33.657609
-84.42931,33.657649
-84.429669,33.65768
-84.4296,33.658999
-84.4296,33.660149
-84.429549,33.662609
-84.42948,33.662959
-84.42927,33.66338
-84.42855,33.66429
-84.42847,33.664419
-84.428359,33.664769
-84.42837,33.6663
-84.42839,33.66718
-84.42841,33.668159
-84.428339,33.668519
-84.42804,33.66911
-84.427779,33.669369
-84.427289,33.66971
-84.42699,33.66985
-84.426739,33.67001
-84.426609,33.670209
-84.426429,33.670109
-84.426159,33.67001
-84.425729,33.669939
-84.42389,33.669919
-84.42385,33.670949
-84.42387,33.67196
-84.42391,33.67209
-84.42397,33.672199
-84.424069,33.67229
-84.424229,33.672379
-84.42642,33.67262
-84.426569,33.672689
-84.426709,33.6728
-84.42713,33.67324
-84.4272,33.6733
-84.427289,33.67334
-84.42748,33.67338
-84.43188,33.673449
-84.43186,33.673899
-84.433549,33.673919
-84.433529,33.675789
-84.43697,33.675809
-84.437159,33.6758
-84.437629,33.67562
-84.43775,33.6756
-84.43799,33.675589
-84.437999,33.67588
-84.43801,33.67654
-84.438479,33.676279
-84.43877,33.676139
-84.43996,33.6756
-84.440529,33.675419
-84.441329,33.67537
-84.441569,33.675379
-84.441249,33.676339
-84.440879,33.677349
-84.44048,33.67845
-84.440339,33.679009
-84.44022,33.679361
-84.44007,33.679342
-84.439969,33.67931
-84.439884,33.678938
-84.43989,33.67882
-84.440585,33.676753
-84.440572,33.676666
-84.440451,33.676296
