"longitude","latitude"
-84.509939,33.674829
-84.509219,33.67391
-84.510109,33.673509
-84.510579,33.673289
-84.510799,33.67322
-84.510949,33.67319
-84.511089,33.673179
-84.512919,33.673199
-84.513139,33.67322
-84.51432,33.673509
-84.514249,33.67262
-84.514249,33.672009
-84.514399,33.671359
-84.514559,33.67098
-84.51514,33.670149
-84.51547,33.669529
-84.515889,33.66821
-84.51631,33.666549
-84.516409,33.66634
-84.51654,33.666139
-84.51677,33.665879
-84.51683,33.665819
-84.51701,33.665709
-84.51909,33.664869
-84.5212,33.66435
-84.522599,33.66408
-84.523879,33.664
-84.525209,33.66414
-84.525439,33.664169
-84.525699,33.66416
-84.526519,33.663909
-84.526939,33.663739
-84.527609,33.663389
-84.528019,33.663109
-84.528679,33.66246
-84.528859,33.66217
-84.52906,33.661689
-84.529279,33.660319
-84.529519,33.65957
-84.529709,33.659099
-84.52881,33.659079
-84.52695,33.65901
-84.52649,33.658959
-84.52551,33.65877
-84.525189,33.658669
-84.522,33.657169
-84.52087,33.656644
-84.520159,33.656399
-84.519489,33.656289
-84.517539,33.65628
-84.51679,33.656189
-84.5134,33.655409
-84.512939,33.6553
-84.51278,33.655429
-84.51254,33.656129
-84.512419,33.6563
-84.512259,33.65647
-84.51205,33.65661
-84.511809,33.65671
-84.509449,33.657399
-84.50921,33.657499
-84.50901,33.657629
-84.50886,33.6578
-84.508749,33.657999
-84.508709,33.65821
-84.508709,33.65996
-84.506719,33.659929
-84.505319,33.659929
-84.504519,33.659929
-84.504219,33.65998
-84.50404,33.66004
-84.503989,33.659559
-84.503969,33.65879
-84.503409,33.658859
-84.503129,33.65887
-84.50291,33.65883
-84.502679,33.658739
-84.50252,33.658609
-84.50236,33.658409
-84.501509,33.65696
-84.501959,33.656759
-84.50308,33.656289
-84.50336,33.656189
-84.50359,33.656149
-84.50402,33.65616
-84.50402,33.65694
-84.503989,33.659559
-84.50404,33.66004
-84.502259,33.66074
-84.50189,33.660869
-84.50137,33.660989
-84.50115,33.661009
-84.50092,33.66098
-84.49992,33.660709
-84.49897,33.66067
-84.49755,33.660709
-84.495409,33.66072
-84.49548,33.65963
-84.494529,33.656399
-84.494379,33.656029
-84.494179,33.655879
-84.49261,33.65489
-84.492579,33.65478
-84.49261,33.654689
-84.492679,33.654609
-84.493689,33.65347
-84.493729,33.65339
-84.493769,33.65324
-84.49376,33.65308
-84.49368,33.65285
-84.49351,33.65257
-84.49329,33.65232
-84.49296,33.65201
-84.49277,33.651879
-84.49142,33.651459
-84.49088,33.651309
-84.49072,33.651219
-84.490629,33.651079
-84.490499,33.6508
-84.490379,33.650649
-84.489749,33.650199
-84.4893,33.65117
-84.489109,33.65158
-84.48838,33.65265
-84.487709,33.653459
-84.48756,33.65366
-84.487359,33.65388
-84.487159,33.65405
-84.48666,33.654359
-84.486109,33.65454
-84.483939,33.65501
-84.483179,33.65524
-84.48298,33.65534
-84.482705,33.65558
-84.48261,33.65567
-84.48206,33.65659
-84.48101,33.658159
-84.4806,33.65858
-84.480299,33.658779
-84.479999,33.65893
-84.4783,33.6595
-84.47769,33.65967
-84.477639,33.66111
-84.47756,33.663949
-84.47758,33.66595
-84.476399,33.66599
-84.47479,33.665999
-84.47075,33.66599
-84.466569,33.665979
-84.466159,33.66595
-84.46582,33.66636
-84.46525,33.66722
-84.464519,33.668239
-84.464089,33.668979
-84.462959,33.670409
-84.462759,33.67063
-84.46246,33.670799
-84.462099,33.67096
-84.45948,33.67168
-84.45829,33.672089
-84.45782,33.67227
-84.45503,33.673409
-84.453189,33.67434
-84.451919,33.6749
-84.450165,33.675509
-84.449519,33.67574
-84.44932,33.675789
-84.448939,33.67584
-84.44747,33.67586
-84.44637,33.67564
-84.445409,33.6756
-84.44284,33.67555
-84.441569,33.675379
-84.441249,33.676339
-84.44048,33.67845
-84.44019,33.67945
-84.439709,33.679394
-84.440529,33.67666
