"longitude","latitude"
-84.339082,33.860114
-84.340509,33.85802
-84.3406,33.858359
-84.34077,33.85874
-84.34112,33.858419
-84.34142,33.858209
-84.341779,33.85802
-84.342319,33.85781
-84.34264,33.857699
-84.34381,33.857489
-84.344619,33.8575
-84.346649,33.85777
-84.34723,33.85779
-84.3474,33.857779
-84.34787,33.857699
-84.34803,33.857659
-84.34855,33.85744
-84.349069,33.85711
-84.350489,33.85601
-84.35078,33.855849
-84.35425,33.85465
-84.35479,33.85449
-84.355899,33.854169
-84.35604,33.85412
-84.356229,33.854089
-84.358019,33.854009
-84.35889,33.853879
-84.35918,33.853819
-84.359369,33.853759
-84.359759,33.853569
-84.3599,33.853489
-84.36002,33.853369
-84.360149,33.853199
-84.360829,33.851789
-84.36088,33.8517
-84.36135,33.851189
-84.36197,33.850519
-84.362739,33.84971
-84.362879,33.849609
-84.363309,33.849389
-84.364299,33.849019
-84.36474,33.848959
-84.36542,33.84901
-84.36573,33.84895
-84.366019,33.848869
-84.36618,33.84878
-84.366389,33.84864
-84.36681,33.84823
-84.36706,33.84796
-84.36761,33.84741
-84.36815,33.846759
-84.36839,33.846309
-84.3686,33.845689
-84.3688,33.845339
-84.36899,33.845119
-84.369859,33.84464
-84.370619,33.844209
-84.371869,33.84353
-84.372489,33.84312
-84.37359,33.842289
-84.37424,33.84186
-84.374809,33.8415
-84.375259,33.841239
-84.37562,33.841069
-84.37646,33.840659
-84.376999,33.840439
-84.37742,33.84035
-84.377699,33.840319
-84.378049,33.840319
-84.37827,33.8403
-84.378599,33.84022
-84.379119,33.83994
-84.37987,33.83942
-84.3804,33.838799
-84.380919,33.83813
-84.38102,33.83797
-84.38112,33.837669
-84.382339,33.835019
-84.382859,33.834095
-84.38297,33.8339
-84.38332,33.833519
-84.383819,33.83306
-84.386199,33.830749
-84.38726,33.829719
-84.387349,33.829619
-84.387389,33.82953
-84.38742,33.82941
-84.38744,33.827339
-84.387449,33.825089
-84.387449,33.824649
-84.387449,33.82362
-84.38746,33.82298
-84.387489,33.82284
-84.38838,33.819999
-84.38877,33.818579
-84.38894,33.818069
-84.38937,33.81736
-84.389785,33.816844
-84.390179,33.816399
-84.39087,33.815789
-84.391489,33.815249
-84.39183,33.81473
-84.39216,33.813999
-84.39243,33.813309
-84.392459,33.81317
-84.39247,33.812999
-84.39245,33.812809
-84.39228,33.812299
-84.39224,33.81215
-84.392229,33.812049
-84.392289,33.81151
-84.3928,33.81017
-84.393549,33.80837
-84.39366,33.808
-84.393709,33.80775
-84.39387,33.806699
-84.393939,33.806019
-84.39393,33.805829
-84.393769,33.80523
-84.39364,33.80486
-84.39333,33.80408
-84.393099,33.803449
-84.39288,33.802669
-84.392829,33.802429
-84.392789,33.80227
-84.39276,33.801499
-84.3927,33.800929
-84.39257,33.80038
-84.39237,33.79985
-84.39216,33.7995
-84.39169,33.79891
-84.391449,33.798669
-84.38976,33.79753
-84.38951,33.797419
-84.388619,33.79712
-84.38822,33.79696
-84.388049,33.79685
-84.387919,33.796719
-84.38787,33.796639
-84.38783,33.79655
-84.387739,33.7962
-84.387719,33.79597
-84.38771,33.795699
-84.387719,33.795099
-84.38773,33.79493
-84.387699,33.79472
-84.387289,33.793949
-84.385579,33.791339
-84.38516,33.79066
-84.385559,33.79047
-84.3866,33.79
-84.38641,33.789499
-84.386379,33.78938
-84.38623,33.78871
-84.386199,33.78838
-84.386729,33.78838
-84.386939,33.78842
-84.387053,33.788775
-84.387296,33.78999
