"longitude","latitude"
-84.305633,33.887633
-84.304718,33.888331
-84.304239,33.887839
-84.305039,33.887009
-84.30393,33.887829
-84.30294,33.888589
-84.30231,33.889199
-84.300529,33.89063
-84.29882,33.892039
-84.298519,33.891909
-84.29822,33.891829
-84.29783,33.89182
-84.29473,33.891809
-84.293309,33.891809
-84.29293,33.89178
-84.29206,33.89166
-84.29132,33.89147
-84.29046,33.891149
-84.28868,33.890269
-84.28574,33.888839
-84.28552,33.888729
-84.285049,33.88622
-84.284949,33.88566
-84.284809,33.88558
-84.28416,33.885059
-84.282959,33.884049
-84.282059,33.88334
-84.281769,33.88318
-84.280929,33.882859
-84.277479,33.881799
-84.27679,33.881589
-84.276079,33.881279
-84.27544,33.8809
-84.273639,33.8794
-84.273559,33.87924
-84.27357,33.879049
-84.273699,33.87875
-84.273989,33.878199
-84.27421,33.8778
-84.27439,33.8775
-84.274709,33.87709
-84.2753,33.87638
-84.27552,33.8761
-84.27665,33.87461
-84.276859,33.87436
-84.27734,33.87379
-84.2779,33.87325
-84.27864,33.87266
-84.279179,33.8723
-84.28132,33.8709
-84.28258,33.870059
-84.28318,33.86969
-84.28438,33.86893
-84.28475,33.86867
-84.28677,33.86704
-84.28847,33.865559
-84.28919,33.86508
-84.289339,33.864939
-84.28942,33.86487
-84.28949,33.86479
-84.29022,33.86388
-84.29069,33.863379
-84.290919,33.863199
-84.29118,33.86298
-84.29136,33.86282
-84.29192,33.86222
-84.29217,33.86192
-84.2926,33.86129
-84.293959,33.85884
-84.29426,33.85831
-84.29461,33.85772
-84.29494,33.85726
-84.29552,33.85654
-84.296099,33.85594
-84.29644,33.85561
-84.29682,33.85529
-84.29931,33.85339
-84.30052,33.852379
-84.301929,33.851169
-84.30256,33.85063
-84.30307,33.85016
-84.303439,33.849759
-84.303549,33.849649
-84.30387,33.84925
-84.30407,33.84896
-84.304369,33.848479
-84.30566,33.84619
-84.30606,33.84551
-84.30639,33.84491
-84.30648,33.84478
-84.30711,33.84365
-84.3075,33.8431
-84.308,33.84257
-84.30836,33.84227
-84.3089,33.84193
-84.30917,33.84178
-84.30993,33.84146
-84.31088,33.84118
-84.31101,33.841119
-84.31146,33.84105
-84.31177,33.84102
-84.31202,33.841
-84.31292,33.84101
-84.313419,33.840989
-84.31404,33.84088
-84.316539,33.840409
-84.31761,33.84029
-84.31808,33.84022
-84.31938,33.83996
-84.32035,33.83965
-84.32066,33.840109
-84.32148,33.841
-84.3216,33.84115
-84.32181,33.841519
-84.321959,33.841869
-84.32206,33.842069
-84.32218,33.842289
-84.32298,33.843089
-84.32309,33.843179
-84.32339,33.843359
-84.32508,33.844039
-84.32554,33.844179
-84.32596,33.844239
-84.32728,33.84423
-84.327479,33.84447
-84.32749,33.84463
-84.32752,33.8449
-84.327619,33.845429
-84.327659,33.84558
-84.32794,33.84633
-84.32805,33.8466
-84.32826,33.84691
-84.32841,33.84708
-84.33014,33.84866
-84.33065,33.848989
-84.33112,33.84916
-84.331949,33.849449
-84.33223,33.84956
-84.33262,33.84973
-84.33286,33.84987
-84.333,33.84997
-84.335029,33.851639
-84.335479,33.852009
-84.336,33.85242
-84.33637,33.85269
-84.33652,33.85279
-84.33669,33.85287
-84.33715,33.85298
-84.33783,33.85302
-84.33812,33.85305
-84.33822,33.85307
-84.33903,33.85334
-84.339199,33.85338
-84.33937,33.854679
-84.33945,33.855359
-84.33952,33.8557
-84.339629,33.85599
-84.340219,33.85718
-84.340509,33.85802
-84.3406,33.858359
-84.340509,33.85908
-84.340349,33.859359
-84.340199,33.859749
-84.33999,33.86032
-84.339809,33.86064
-84.339549,33.860699
-84.33945,33.860719
-84.339299,33.860739
-84.33911,33.86075
-84.338559,33.86071
-84.340509,33.85802
