"longitude","latitude"
-84.370049,33.823179
-84.370049,33.823049
-84.37002,33.82296
-84.36987,33.822929
-84.369719,33.82298
-84.369509,33.82374
-84.36928,33.82372
-84.368359,33.823589
-84.367909,33.82356
-84.367249,33.82358
-84.367229,33.82438
-84.36716,33.82575
-84.36632,33.82577
-84.364159,33.825759
-84.362119,33.825679
-84.36183,33.825639
-84.359409,33.82499
-84.35897,33.824859
-84.357359,33.824409
-84.356229,33.824079
-84.35606,33.82403
-84.355599,33.82436
-84.355329,33.824549
-84.35487,33.82479
-84.35337,33.82538
-84.352789,33.825579
-84.35238,33.82563
-84.351819,33.825599
-84.35052,33.825479
-84.35013,33.82547
-84.349709,33.82555
-84.349439,33.82563
-84.34927,33.825739
-84.348799,33.82606
-84.345559,33.82893
-84.34203,33.832029
-84.34019,33.83365
-84.33765,33.835839
-84.33691,33.83641
-84.334445,33.838045
-84.3342,33.83821
-84.333019,33.839099
-84.32977,33.84199
-84.32653,33.844905
-84.3248,33.846469
-84.322571,33.84846
-84.32223,33.848769
-84.32076,33.8501
-84.31914,33.851539
-84.31599,33.854369
-84.313295,33.856789
-84.31115,33.85872
-84.308679,33.860919
-84.306625,33.862754
-84.30608,33.863239
-84.302989,33.865989
-84.29968,33.86896
-84.297309,33.871099
-84.29586,33.87253
-84.295299,33.873239
-84.2942,33.874954
-84.293199,33.876729
-84.2898,33.8829
-84.288629,33.88501
-84.286759,33.888379
-84.28625,33.88931
-84.28558,33.890519
-84.283899,33.89355
-84.28281,33.89543
-84.28242,33.89593
-84.282299,33.89607
-84.28166,33.89673
-84.277709,33.899979
-84.278339,33.900449
-84.27883,33.90082
-84.27903,33.90096
-84.27999,33.901679
-84.280289,33.901909
-84.28015,33.90206
-84.27941,33.90265
-84.27902,33.90292
-84.279251,33.903236
-84.279342,33.903281
-84.279443,33.903253
-84.280457,33.902521
-84.280496,33.902436
-84.280431,33.902363
-84.280323,33.902369
-84.280273,33.902623
-84.280212,33.902697
